"","Gene","Info"
"1","PF3D7_MIT02300",""
"2","PF3D7_0502400",""
"3","PF3D7_0603300",""
"4","PF3D7_0104300",""
"5","PF3D7_1204400",""
"6","PF3D7_0304600",""
"7","PF3D7_1408000",""
"8","PF3D7_1008700",""
"9","PF3D7_0109800",""
"10","PF3D7_0709000",""
"11","PF3D7_0509800",""
"12","PF3D7_0112200",""
"13","PF3D7_1113300",""
"14","PF3D7_1211900",""
"15","PF3D7_0810800",""
"16","PF3D7_1114700",""
"17","PF3D7_1213800",""
"18","PF3D7_0914700",""
"19","PF3D7_0813000",""
"20","PF3D7_0316600",""
"21","PF3D7_1218300",""
"22","PF3D7_0417200",""
"23","PF3D7_1318100",""
"24","PF3D7_0319700",""
"25","PF3D7_1320600",""
"26","PF3D7_0720700",""
"27","PF3D7_0321900",""
"28","PF3D7_0523000",""
"29","PF3D7_1025000",""
"30","PF3D7_0727200",""
"31","PF3D7_1229100",""
"32","PF3D7_0629500",""
"33","PF3D7_0831800",""
"34","PF3D7_1035700",""
"35","PF3D7_1036300",""
"36","PF3D7_1036800",""
"37","PF3D7_1138700",""
"38","PF3D7_1438400",""
"39","PF3D7_1339900",""
"40","PF3D7_1343700",""
"41","PF3D7_1246300",""
"42","PF3D7_1352100",""
"43","PF3D7_1451100",""
"44","PF3D7_1251200",""
"45","PF3D7_1460900",""
"46","PF3D7_1460900",""
"47","PF3D7_1372200",""
